mode,index,prompt_id,latency_s,prompt_chars,output_tokens,throughput_tokens_per_s
shared_prefix,0,S001,3.890840,767,128,32.897781
shared_prefix,1,S002,3.875789,772,128,33.025530
shared_prefix,2,S003,3.911245,739,128,32.726156
shared_prefix,3,S004,3.870811,766,128,33.068009
shared_prefix,4,S005,3.875336,754,128,33.029397
shared_prefix,5,S006,3.883979,744,128,32.955893
shared_prefix,6,S007,3.899746,785,128,32.822654
shared_prefix,7,S008,3.883648,774,128,32.958703
shared_prefix,8,S009,3.931457,754,128,32.557903
shared_prefix,9,S010,3.863520,736,128,33.130412
shared_prefix,10,S011,2.503720,541,82,32.751270
shared_prefix,11,S012,1.529053,589,49,32.045969
shared_prefix,12,S013,1.692272,566,55,32.500692
shared_prefix,13,S014,2.052462,560,67,32.643718
shared_prefix,14,S015,2.399663,558,78,32.504562
shared_prefix,15,S016,2.123402,548,68,32.024077
shared_prefix,16,S017,2.321105,540,75,32.312195
shared_prefix,17,S018,1.211140,577,42,34.678076
shared_prefix,18,S019,1.236594,560,43,34.772938
shared_prefix,19,S020,1.695804,532,58,34.202062
shared_prefix,20,S021,3.791628,484,128,33.758585
shared_prefix,21,S022,3.929819,482,128,32.571471
shared_prefix,22,S023,3.956263,450,128,32.353767
shared_prefix,23,S024,3.921657,450,128,32.639266
shared_prefix,24,S025,4.011994,461,128,31.904331
shared_prefix,25,S026,4.091344,438,128,31.285560
shared_prefix,26,S027,3.518021,429,128,36.384094
shared_prefix,27,S028,3.333076,460,128,38.402966
shared_prefix,28,S029,4.206038,415,128,30.432437
shared_prefix,29,S030,3.776896,440,128,33.890266
shared_prefix,30,S031,3.681635,485,128,34.767162
shared_prefix,31,S032,3.739531,473,128,34.228890
shared_prefix,32,S033,3.753074,506,128,34.105373
shared_prefix,33,S034,3.437056,483,128,37.241174
shared_prefix,34,S035,3.327901,489,128,38.462684
shared_prefix,35,S036,3.653643,491,128,35.033531
shared_prefix,36,S037,3.741570,501,128,34.210240
shared_prefix,37,S038,3.775992,516,128,33.898380
shared_prefix,38,S039,3.773056,506,128,33.924758
shared_prefix,39,S040,3.776795,488,128,33.891168
shared_prefix,40,S041,3.774316,436,128,33.913434
shared_prefix,41,S042,3.769315,374,128,33.958423
shared_prefix,42,S043,3.790926,389,128,33.764835
shared_prefix,43,S044,3.447786,397,128,37.125277
shared_prefix,44,S045,3.315910,392,128,38.601774
shared_prefix,45,S046,3.318911,396,128,38.566868
shared_prefix,46,S047,3.323420,379,128,38.514541
shared_prefix,47,S048,3.314951,355,128,38.612941
shared_prefix,48,S049,3.592005,390,128,35.634693
shared_prefix,49,S050,3.734659,375,128,34.273544
unique_prefix,0,U001,3.801788,205,128,33.668368
unique_prefix,1,U002,3.738947,181,128,34.234234
unique_prefix,2,U003,3.745220,176,128,34.176897
unique_prefix,3,U004,4.135906,159,128,30.948477
unique_prefix,4,U005,3.799602,163,128,33.687739
unique_prefix,5,U006,3.870852,131,128,33.067653
unique_prefix,6,U007,3.898101,162,128,32.836502
unique_prefix,7,U008,3.874959,151,128,33.032606
unique_prefix,8,U009,3.875219,169,128,33.030388
unique_prefix,9,U010,3.874057,160,128,33.040300
unique_prefix,10,U011,3.860827,153,128,33.153521
unique_prefix,11,U012,3.906531,164,128,32.765646
unique_prefix,12,U013,3.875416,145,128,33.028710
unique_prefix,13,U014,3.884695,145,128,32.949816
unique_prefix,14,U015,3.872265,167,128,33.055586
unique_prefix,15,U016,3.910958,150,128,32.728556
unique_prefix,16,U017,3.864664,145,128,33.120601
unique_prefix,17,U018,3.892798,151,128,32.881230
unique_prefix,18,U019,3.906297,143,128,32.767607
unique_prefix,19,U020,3.599352,147,128,35.561961
unique_prefix,20,U021,3.818689,164,128,33.519360
unique_prefix,21,U022,3.924477,140,128,32.615810
unique_prefix,22,U023,3.939226,132,128,32.493694
unique_prefix,23,U024,3.933392,139,128,32.541886
unique_prefix,24,U025,3.965301,134,128,32.280021
unique_prefix,25,U026,4.100895,157,128,31.212697
unique_prefix,26,U027,3.679870,147,128,34.783842
unique_prefix,27,U028,3.314750,155,128,38.615279
unique_prefix,28,U029,3.961598,129,128,32.310197
unique_prefix,29,U030,3.944716,135,128,32.448472
unique_prefix,30,U031,3.620797,146,128,35.351328
unique_prefix,31,U032,3.729353,164,128,34.322303
unique_prefix,32,U033,3.749625,133,128,34.136746
unique_prefix,33,U034,3.597732,130,128,35.577973
unique_prefix,34,U035,3.309958,152,128,38.671182
unique_prefix,35,U036,3.513459,143,128,36.431332
unique_prefix,36,U037,3.730986,157,128,34.307288
unique_prefix,37,U038,3.748271,160,128,34.149080
unique_prefix,38,U039,3.761481,123,128,34.029150
unique_prefix,39,U040,3.768102,161,128,33.969359
unique_prefix,40,U041,3.785477,137,128,33.813440
unique_prefix,41,U042,3.771036,135,128,33.942928
unique_prefix,42,U043,3.842499,128,128,33.311655
unique_prefix,43,U044,3.621104,153,128,35.348336
unique_prefix,44,U045,3.323330,133,128,38.515587
unique_prefix,45,U046,3.312863,154,128,38.637277
unique_prefix,46,U047,3.311476,143,128,38.653456
unique_prefix,47,U048,3.316292,155,128,38.597320
unique_prefix,48,U049,3.367624,121,128,38.008995
unique_prefix,49,U050,3.748598,148,128,34.146101
